tidak_baku,kata_baku
ngapaen,ngapain
woww,wow
aminn,amin
met,selamat
confass,pamer
confess,pamer
jpn,jepang
gue,saya
netaas,menetas
gassssss,gas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,dah
ln,luar_negeri
ma,sih
ae,aja
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,tidak
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,ingin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
jdi,jadi
lgi,lagi
gk,tidak
kek,kayak
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
bkn,bukan
gassssssss,gas
cung,ngacung
males,malas
iriiii,iri
gosah,gausah
bang,abang
skrg,sekarang
org,orang
bahka,bahkan
bhkn,bahkan
nyangka,menyangka
bangettt,banget
bdaaaaayyy, selamat ulang tahun 
kereeen,keren
wihhhhhh,wih
tp,tapi
inget,ingat
bingitsss,banget
dmn,dimana
bird,biru
kaloo,kalau
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
pingin,ingin
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,ingin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,banget
tuhh,tuh
berarto,berarti
ga,tidak
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiiiin,amin
aminnn,amin
amiend,amien
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
ngomong,mengomong
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,entar
bs,bisa
gini,begini
salfok,salah fokus
njir,anjir
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,tidak bisa
bhs,bahasa
yaaaaaa,ya
gak,tidak
bangshad,bangsat
stagahhhh,astaga
kpn,kapan
iooo,lo
dy,dia
d,ada
mslh,masalah
qt,kita
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
bkin,bikin
dongg,dong
yokkk,yuk
yu,yuk
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,ya
kayakk,kayak
asliii,asli
kyk,kayak
cntiknya,cantiknya
bat,banget
ngeliatnya,melihatnya
sll,selalu
bet,banget
njerr,anjir
bingiiittttzzzz,banget
k,kak
klo,kalau
dooong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
mbakx,mbaknya
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
yuuuk,yuk
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2nya,tiga-tiganya
lucuu,lucu
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
mbil,sambil
ngmng,mengomong
ngemeng,mengomong
epe,apa
seehh,sih
yank,sayang
ucul,lucu
yahh,ya
gw,gue
ngakak,mengakak
astagfirrullah,astagfirullah
suerrr,suer
mnta,minta
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
kyanya,kayanya
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
ma,sama
duluu,dulu
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
ny,nya
d,di
bdan,badan
nyaaa,nya
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
kaaa,kak
ganteng2,ganteng-ganteng
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
gara2,gara-gara
garuk2,garuk-garuk
tembokk,tembok
namax,namanya
kiriii,kiri
bungkusin,bungkuskan
atu,satu
dehhhh,deh
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bru,baru
nton,menonton
ngapain,mengapai
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,banget
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
bngun,bangun
ea,ya
qu,ku
hiri,hari
kalo,kalau
teman"ny,teman-temannya
aza,saja
dr,dari
alm,almarhum
sie,sih
benet,benar
bangetttt,banget
tuu,tuh
